id,query,intent,answer,accepted,verify_score,repair_used,steps,total_ms,retrieved_count,pruned_chars,context_chars
q1,What is transfer learning?,definition,Machine learning is a subset of artificial intelligence that enables computers to learn and make decisions from data without being explicitly programmed.,True,0.82,False,retrieve|rerank|prune|contextualize|generate|verify,7.508277893066406,6,5541,2326
q2,Explain how neural networks process information,explanation,Deep learning is a specialized subset of machine learning that uses neural networks with multiple layers to model and understand complex patterns in data.,True,0.755,False,retrieve|rerank|prune|contextualize|generate|verify,7.520437240600586,5,3968,2259
q3,Compare CNNs and Transformers,comparison,Deep learning is a specialized subset of machine learning that uses neural networks with multiple layers to model and understand complex patterns in data.,False,0.67,True,retrieve|rerank|prune|contextualize|generate|verify|repair,13.512849807739258,6,5567,2300
q4,How do I fine-tune a pretrained model?,how_to,Machine learning is a subset of artificial intelligence that enables computers to learn and make decisions from data without being explicitly programmed.,False,0.655,True,retrieve|rerank|prune|contextualize|generate|verify|repair,14.024019241333008,5,4252,2309
q5,Summarize the key concepts in neural network training,summarization,Computer vision is a field of artificial intelligence that enables computers to interpret and understand visual information from the world.,False,0.67,True,retrieve|rerank|prune|contextualize|generate|verify|repair,14.508724212646484,6,5513,2354
q6,What is backpropagation?,definition,Deep learning is a specialized subset of machine learning that uses neural networks with multiple layers to model and understand complex patterns in data.,True,0.77,False,retrieve|rerank|prune|contextualize|generate|verify,5.510091781616211,5,5029,1198
q7,Explain the role of attention mechanisms,explanation,Computer vision is a field of artificial intelligence that enables computers to interpret and understand visual information from the world.,False,0.655,True,retrieve|rerank|prune|contextualize|generate|verify|repair,13.010025024414062,6,5542,2325
q8,What are the differences between overfitting and underfitting?,comparison,Machine learning is a subset of artificial intelligence that enables computers to learn and make decisions from data without being explicitly programmed.,False,0.67,True,retrieve|rerank|prune|contextualize|generate|verify|repair,12.513875961303711,6,5549,2318
q9,How does gradient descent work?,explanation,"Based on the provided context, this is a generated response that addresses your question using the available information.",False,0.655,True,retrieve|rerank|prune|contextualize|generate|verify|repair,12.010574340820312,5,5778,449
q10,Define convolutional neural networks,definition,Deep learning is a specialized subset of machine learning that uses neural networks with multiple layers to model and understand complex patterns in data.,True,0.82,False,retrieve|rerank|prune|contextualize|generate|verify,8.007049560546875,5,3946,2281
q11,Compare supervised and unsupervised learning,comparison,Machine learning is a subset of artificial intelligence that enables computers to learn and make decisions from data without being explicitly programmed.,True,0.745,False,retrieve|rerank|prune|contextualize|generate|verify,7.508754730224609,6,5553,2314
q12,What is the purpose of pretrained models?,explanation,Machine learning is a subset of artificial intelligence that enables computers to learn and make decisions from data without being explicitly programmed.,True,0.73,False,retrieve|rerank|prune|contextualize|generate|verify,6.5135955810546875,5,4249,2312
q13,How do I prevent overfitting in my model?,how_to,Machine learning is a subset of artificial intelligence that enables computers to learn and make decisions from data without being explicitly programmed.,False,0.655,True,retrieve|rerank|prune|contextualize|generate|verify|repair,13.514280319213867,5,4264,2297
q14,Summarize the Transformer architecture,summarization,Computer vision is a field of artificial intelligence that enables computers to interpret and understand visual information from the world.,False,0.67,True,retrieve|rerank|prune|contextualize|generate|verify|repair,13.011693954467773,6,5951,1916
q15,What is fine-tuning?,definition,Deep learning is a specialized subset of machine learning that uses neural networks with multiple layers to model and understand complex patterns in data.,True,0.745,False,retrieve|rerank|prune|contextualize|generate|verify,6.003141403198242,5,5680,881
q16,Explain why Transformers are effective for NLP,explanation,Deep learning is a specialized subset of machine learning that uses neural networks with multiple layers to model and understand complex patterns in data.,False,0.655,True,retrieve|rerank|prune|contextualize|generate|verify|repair,12.515068054199219,6,5565,2302
q17,Compare gradient descent with other optimization methods,comparison,Deep learning is a specialized subset of machine learning that uses neural networks with multiple layers to model and understand complex patterns in data.,False,0.67,True,retrieve|rerank|prune|contextualize|generate|verify|repair,12.018203735351562,6,6818,1049
q18,How do attention mechanisms improve model performance?,explanation,Machine learning is a subset of artificial intelligence that enables computers to learn and make decisions from data without being explicitly programmed.,False,0.655,True,retrieve|rerank|prune|contextualize|generate|verify|repair,13.508081436157227,5,4221,2340
q19,What are the main components of a neural network?,definition,Deep learning is a specialized subset of machine learning that uses neural networks with multiple layers to model and understand complex patterns in data.,True,0.72,False,retrieve|rerank|prune|contextualize|generate|verify,7.51185417175293,5,3892,2335
q20,Summarize the benefits of transfer learning,summarization,Machine learning is a subset of artificial intelligence that enables computers to learn and make decisions from data without being explicitly programmed.,True,0.745,False,retrieve|rerank|prune|contextualize|generate|verify,7.509469985961914,6,5553,2314
